timestamp,type,exchange,symbol,futures_price,spot_price,basis,basis_percent,open_interest,volume_24h,put_call_ratio,implied_volatility,skew,funding_rate,funding_rate_percent,next_funding_time
2025-09-28T00:58:56.284578+00:00,futures,bitmex,BTC/USDT,109532.9,109680.0,-0.0013411743253100457,-0.13411743253100458,0.0,7666754.90689,,,,,,
2025-09-28T00:58:56.463228+00:00,funding,okx,BTC/USDT,,,,,,,,,,-4.24208510583e-05,-0.004242085105830001,2025-09-28T08:00:00+00:00
2025-09-28T00:58:58.465305+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-28T04:00:00+00:00
2025-09-28T04:14:16.054512+00:00,futures,bitmex,BTC/USDT,109422.8,109452.5,-0.00027135058587055656,-0.027135058587055658,0.0,6644705.898689998,,,,,,
2025-09-28T04:14:16.291102+00:00,funding,okx,BTC/USDT,,,,,,,,,,-1.94829940111e-05,-0.0019482994011100002,2025-09-28T08:00:00+00:00
2025-09-28T04:14:18.296360+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-28T12:00:00+00:00
2025-09-28T08:13:52.929152+00:00,futures,bitmex,BTC/USDT,109483.1,109469.0,0.0001288035882305111,0.01288035882305111,0.0,8197047.360210001,,,,,,
2025-09-28T08:13:53.147589+00:00,funding,okx,BTC/USDT,,,,,,,,,,3.16905294826e-05,0.00316905294826,2025-09-28T16:00:00+00:00
2025-09-28T08:13:54.999311+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-28T12:00:00+00:00
2025-09-28T12:20:07.261186+00:00,futures,bitmex,BTC/USDT,109372.6,109242.5,0.0011909284390233272,0.11909284390233271,0.0,8650865.665360002,,,,,,
2025-09-28T12:20:07.511137+00:00,funding,okx,BTC/USDT,,,,,,,,,,2.05403192946e-05,0.00205403192946,2025-09-28T16:00:00+00:00
2025-09-28T12:20:09.471408+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-28T20:00:00+00:00
2025-09-28T16:12:26.460534+00:00,futures,bitmex,BTC/USDT,110177.5,110327.0,-0.0013550626773138035,-0.13550626773138036,0.0,10975678.02892,,,,,,
2025-09-28T16:12:26.689998+00:00,funding,okx,BTC/USDT,,,,,,,,,,6.07878251462e-05,0.00607878251462,2025-09-29T00:00:00+00:00
2025-09-28T16:12:28.539330+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,0.0001,0.01,2025-09-28T20:00:00+00:00
2025-09-28T20:12:27.326779+00:00,futures,bitmex,BTC/USDT,110307.2,110220.0,0.0007911449827617228,0.07911449827617228,0.0,11933986.617439998,,,,,,
2025-09-28T20:12:27.560636+00:00,funding,okx,BTC/USDT,,,,,,,,,,1.02129771024e-05,0.00102129771024,2025-09-29T00:00:00+00:00
2025-09-28T20:12:29.356206+00:00,funding,bitmex,BTC/USDT,,,,,,,,,,9.2e-05,0.0092,2025-09-29T04:00:00+00:00
2025-09-29T00:54:57.140800+00:00,futures,bitmex,BTC/USDT,112154.9,112175.0,-0.00017918431022960393,-0.017918431022960393,0.0,19718541.937900003,,,,,,
